Gene,Dataset,Trait,Method,HGNC,Transcript,Chromosome,Start,End,Biotype,Z,P,"Permutation P",R2,"Top GWAS SNP","Top GWAS P",Screen.P,"Screening Adjusted P","Confirmation P"
ENSG00000159958,Developmental,SCZ,isoTWAS,TNFRSF13C,ENST00000291232,22,41922032,41926806,protein_coding,5.222419856,1.77E-07,0.003996004,0.013168278,rs5751191,2.75E-13,1.77000000004078E-07,4.28919369379252E-06,0
ENSG00000247596,Developmental,SCZ,isoTWAS,TWF2,ENST00000499914,3,52228612,52246788,protein_coding,-8.458089133,2.72E-17,0.038961039,0.034270292,rs648514,2.84E-13,8.15999999999929E-17,1.44718945054933E-14,5.44E-17
ENSG00000196391,Developmental,SCZ,isoTWAS,ZNF774,ENST00000354377,15,90352284,90369146,protein_coding,4.189427368,2.8E-05,0.027972028,0.109526558,rs1894400,2.84E-13,5.59323598568672E-05,0.000516414391149874,2.8E-05
ENSG00000275345,Developmental,SCZ,isoTWAS,,ENST00000610689,15,90281858,90282270,lncRNA,-4.141471635,3.45E-05,0.027972028,0.012288994,rs1894400,2.84E-13,3.45000000000222E-05,0.000354860080390309,0
ENSG00000184056,Developmental,SCZ,isoTWAS,VPS33B,ENST00000554660,15,90998673,91022603,protein_coding,3.494645963,0.000474691,0.020979021,0.014829979,rs1894400,2.84E-13,0.000967514334012018,0.00420348858527136,0.002373455
ENSG00000279980,Developmental,SCZ,isoTWAS,,ENST00000624044,15,90347587,90349437,TEC,-4.16868598,3.06E-05,0.01998002,0.014571889,rs1894400,2.84E-13,3.06000000000096E-05,0.000322148336595013,0
ENSG00000261147,Developmental,SCZ,isoTWAS,,ENST00000561573,15,90249556,90272208,protein_coding,-4.761484481,1.92E-06,0.013986014,0.048492535,rs1894400,2.84E-13,1.92000000003439E-06,3.30350533054957E-05,0
ENSG00000196547,Developmental,SCZ,isoTWAS,MAN2A2,ENST00000560616,15,90902218,90922584,protein_coding,4.654705952,3.24E-06,0.011988012,0.041119801,rs1894400,2.84E-13,4.80809103500379E-05,0.000459430320982393,4.536E-05
ENSG00000182054,Developmental,SCZ,isoTWAS,IDH2,ENST00000330062,15,90083045,90102477,protein_coding,-4.973931347,6.56E-07,0.00999001,0.011355193,rs1894400,2.84E-13,1.31196218965449E-06,2.40337772744993E-05,6.56E-07
ENSG00000004534,Developmental,AN,isoTWAS,RBM6,ENST00000442092,3,49940007,50100045,protein_coding,-3.538097456,0.000403021,0.002997003,0.025990284,rs11716445,3.1E-13,2.39378372960076E-08,7.44379106204752E-07,0.002418126
ENSG00000176095,Developmental,AN,isoTWAS,IP6K1,ENST00000460540,3,49724294,49786542,protein_coding,-3.645824569,0.000266536,0.02997003,0.051200906,rs11716445,3.1E-13,1.48913841731759E-07,3.70882791930379E-06,0.000799608
ENSG00000003756,Developmental,AN,isoTWAS,RBM5,ENST00000433556,3,50088919,50119021,protein_coding,4.361778553,1.29E-05,0.000999001,0.019788605,rs11716445,3.1E-13,2.03972273447693E-10,1.07239678161358E-08,0.0001935
ENSG00000114383,Developmental,AN,isoTWAS,TUSC2,ENST00000421918,3,50320027,50328251,protein_coding,-4.314047541,1.6E-05,0.013986014,0.017923026,rs11716445,3.1E-13,1.21918387193737E-06,2.25979260842128E-05,3.2E-05
ENSG00000004534,Developmental,AN,isoTWAS,RBM6,ENST00000454079,3,49940007,50100045,protein_coding,4.763767455,1.9E-06,0.000999001,0.329088794,rs11716445,3.1E-13,2.39378372960076E-08,7.44379106204752E-07,3.04E-05
ENSG00000173531,Developmental,AN,isoTWAS,MST1,ENST00000491943,3,49683947,49689501,protein_coding,-4.847183466,1.25E-06,0.028971029,0.073602318,rs11716445,3.1E-13,8.74212933658375E-07,1.70855881199921E-05,1.375E-05
ENSG00000243477,Developmental,AN,isoTWAS,NAA80,ENST00000443094,3,50296402,50299416,protein_coding,5.006909294,5.53E-07,0.000999001,0.010140731,rs11716445,3.1E-13,2.10780074384221E-10,1.1044739027555E-08,1.659E-06
ENSG00000114383,Developmental,AN,isoTWAS,TUSC2,ENST00000232496,3,50320027,50328251,protein_coding,-5.060936524,4.17E-07,0.04995005,0.034561799,rs11716445,3.1E-13,1.21918387193737E-06,2.25979260842128E-05,8.34E-07
ENSG00000004534,Developmental,AN,isoTWAS,RBM6,ENST00000493652,3,49940007,50100045,protein_coding,-6.054335094,1.41E-09,0.001998002,0.048897751,rs11716445,3.1E-13,2.39378372960076E-08,7.44379106204752E-07,2.256E-08
ENSG00000214706,Developmental,AN,isoTWAS,IFRD2,ENST00000474556,3,50287732,50292918,protein_coding,6.422930221,1.34E-10,0.000999001,0.023887226,rs11716445,3.1E-13,1.07195259882376E-09,4.6133981313111E-08,9.38E-10
ENSG00000182179,Developmental,AN,isoTWAS,UBA7,ENST00000497908,3,49805209,49813953,protein_coding,-6.537558566,6.25E-11,0.000999001,0.062089472,rs11716445,3.1E-13,3.67622286323558E-11,2.32668865842193E-09,4.375E-10
ENSG00000183763,Developmental,AN,isoTWAS,TRAIP,ENST00000469027,3,49828601,49856574,protein_coding,6.441427905,1.18E-10,0.000999001,0.032402178,rs11716445,3.1E-13,4.64420261734512E-10,2.24409539045907E-08,3.54E-10
ENSG00000003756,Developmental,AN,isoTWAS,RBM5,ENST00000492430,3,50088919,50119021,protein_coding,6.779743472,1.2E-11,0.000999001,0.03408699,rs11716445,3.1E-13,2.03972273447693E-10,1.07239678161358E-08,1.92E-10
ENSG00000243477,Developmental,AN,isoTWAS,NAA80,ENST00000417393,3,50296402,50299416,protein_coding,6.563241192,5.27E-11,0.000999001,0.025926549,rs11716445,3.1E-13,2.10780074384221E-10,1.1044739027555E-08,1.581E-10
ENSG00000164068,Developmental,AN,isoTWAS,RNF123,ENST00000432042,3,49689538,49721529,protein_coding,6.746305717,1.52E-11,0.000999001,0.014583436,rs11716445,3.1E-13,1.51988421655789E-10,8.42935098660751E-09,1.368E-10
ENSG00000234667,Developmental,AN,isoTWAS,ACTL11P,ENST00000423971,3,49873347,49877305,unitary_pseudogene,-5.493083615,3.95E-08,0.000999001,0.010674676,rs11716445,3.1E-13,3.9499999990495E-08,1.1611848813235E-06,0
ENSG00000185614,Developmental,AN,isoTWAS,INKA1,ENST00000333323,3,49803261,49805030,protein_coding,-5.874500251,4.24E-09,0.000999001,0.017878789,rs11716445,3.1E-13,4.24000000979362E-09,1.58768817072063E-07,0
ENSG00000100412,Developmental,NTSM,isoTWAS,ACO2,ENST00000471094,22,41447830,41529273,protein_coding,6.23546129,4.5E-10,0.028971029,0.031376167,rs2024566,3.22E-13,1.88221256318064E-10,1.00640155637618E-08,9E-10
ENSG00000100412,Developmental,NTSM,isoTWAS,ACO2,ENST00000482208,22,41447830,41529273,protein_coding,6.23546129,4.5E-10,0.031968032,0.038977956,rs2024566,3.22E-13,1.88221256318064E-10,1.00640155637618E-08,9E-10
ENSG00000232040,Developmental,MDD,isoTWAS,ZBED9,ENST00000524745,6,28570535,28616212,protein_coding,-7.264,3.76E-13,0.000999001,0.020477631,rs510987,3.76E-13,3.20927062937133E-22,1.91831180323792E-19,7.52E-13
ENSG00000232040,Developmental,MDD,isoTWAS,ZBED9,ENST00000526291,6,28570535,28616212,protein_coding,7.264,3.76E-13,0.000999001,0.020686744,rs510987,3.76E-13,3.20927062937133E-22,1.91831180323792E-19,7.52E-13
ENSG00000173114,Developmental,SCZ,isoTWAS,LRRN3,ENST00000422987,7,111091006,111125454,protein_coding,-4.923099365,8.52E-07,0.047952048,0.03817345,rs7810543,4.36E-13,4.25486527873133E-06,6.37006222017114E-05,3.408E-06
ENSG00000151503,Developmental,SCZ,isoTWAS,NCAPD3,ENST00000532445,11,134150113,134225504,protein_coding,-4.897670026,9.7E-07,0.047952048,0.040940854,rs7122746,4.9E-13,1.13280202771227E-05,0.000144824845802415,1.067E-05
ENSG00000149328,Developmental,SCZ,isoTWAS,GLB1L2,ENST00000529077,11,134331874,134378341,protein_coding,-5.191496582,2.09E-07,0.033966034,0.031175744,rs7122746,4.9E-13,6.26997786947055E-07,1.27766632367911E-05,4.18E-07
ENSG00000080854,Developmental,SCZ,isoTWAS,IGSF9B,ENST00000533160,11,133896438,133956968,protein_coding,-5.963142883,2.47E-09,0.014985015,0.035473271,rs7122746,4.9E-13,7.40999791299896E-09,2.64579549375863E-07,4.94E-09
ENSG00000286863,Developmental,CDG,isoTWAS,,ENST00000653965,1,72283170,72753772,lncRNA,-6.825677045,8.75E-12,0.044955045,0.018471427,rs7549372,5.93E-13,3.49794907316421E-11,2.22257480676367E-09,2.625E-11
ENSG00000055955,Developmental,SCZ,isoTWAS,ITIH4,ENST00000461966,3,52812962,52830688,protein_coding,-7.36939833,1.71E-13,0.000999001,0.04082233,rs13083728,6.2E-13,8.70121281463418E-13,7.71587217666929E-11,1.197E-12
ENSG00000101442,Developmental,SCZ,isoTWAS,ACTR5,ENST00000243903,20,38748460,38772520,protein_coding,4.138961585,3.49E-05,0.024975025,0.078029593,rs2246672,7.45E-13,3.49000000000488E-05,0.000357619746032246,0
ENSG00000196756,Developmental,SCZ,isoTWAS,SNHG17,ENST00000658051,20,38419638,38435409,lncRNA,-5.134027648,2.84E-07,0.023976024,0.022306202,rs2246672,7.45E-13,1.23615469218114E-09,5.18189625379519E-08,5.964E-06
ENSG00000196756,Developmental,SCZ,isoTWAS,SNHG17,ENST00000665233,20,38419638,38435409,lncRNA,-6.553379269,5.62E-11,0.004995005,0.066189411,rs2246672,7.45E-13,1.23615469218114E-09,5.18189625379519E-08,1.1802E-09
ENSG00000118007,Developmental,NTSM,isoTWAS,STAG1,ENST00000483235,3,136336236,136752403,protein_coding,-5.239278366,1.61E-07,0.025974026,0.050527145,rs655836,7.45E-13,1.11829612758848E-07,2.87391420432331E-06,1.127E-06
ENSG00000114054,Developmental,NTSM,isoTWAS,PCCB,ENST00000478469,3,136250340,136337896,protein_coding,5.422243481,5.89E-08,0.045954046,0.034052532,rs655836,7.45E-13,2.3415541434575E-07,5.40166477855373E-06,6.479E-07
ENSG00000118007,Developmental,NTSM,isoTWAS,STAG1,ENST00000383202,3,136336236,136752403,protein_coding,5.559738384,2.7E-08,0.024975025,0.014275745,rs655836,7.45E-13,1.11829612758848E-07,2.87391420432331E-06,2.16E-07
ENSG00000118007,Developmental,NTSM,isoTWAS,STAG1,ENST00000492318,3,136336236,136752403,protein_coding,5.559738384,2.7E-08,0.021978022,0.024382348,rs655836,7.45E-13,1.11829612758848E-07,2.87391420432331E-06,2.16E-07
ENSG00000240086,Developmental,NTSM,isoTWAS,,ENST00000658465,3,135138469,135439888,lncRNA,5.221824624,1.77E-07,0.005994006,0.017185036,rs655836,7.45E-13,3.5396248461289E-07,7.83621473136822E-06,1.77E-07
ENSG00000239213,Developmental,NTSM,isoTWAS,NCK1-DT,ENST00000661609,3,136835345,136862618,lncRNA,5.908501068,3.45E-09,0.026973027,0.042015326,rs655836,7.45E-13,1.37993346414086E-08,4.58245806126941E-07,1.035E-08
ENSG00000174564,Developmental,NTSM,isoTWAS,IL20RB,ENST00000329582,3,136946230,137011085,protein_coding,-5.913488078,3.35E-09,0.032967033,0.010338349,rs655836,7.45E-13,6.69999348662614E-09,2.4190423910662E-07,1.005E-08
ENSG00000174564,Developmental,NTSM,isoTWAS,IL20RB,ENST00000484501,3,136946230,137011085,protein_coding,-5.913488078,3.35E-09,0.033966034,0.049444849,rs655836,7.45E-13,6.69999348662614E-09,2.4190423910662E-07,1.005E-08
ENSG00000174579,Developmental,NTSM,isoTWAS,MSL2,ENST00000481989,3,136148917,136197241,protein_coding,-6.305825128,2.87E-10,0.001998002,0.042948598,rs655836,7.45E-13,2.56826404290269E-10,1.32003864294288E-08,5.74E-10
ENSG00000174579,Developmental,NTSM,isoTWAS,MSL2,ENST00000434835,3,136148917,136197241,protein_coding,-6.436704111,1.22E-10,0.027972028,0.024136994,rs655836,7.45E-13,2.56826404290269E-10,1.32003864294288E-08,2.44E-10
ENSG00000227207,Developmental,MDD,isoTWAS,RPL31P12,ENST00000422587,1,72301472,72301829,processed_pseudogene,6.830388207,8.47E-12,0.014985015,0.26772604,rs782239,8.49E-13,8.47004864457527E-12,6.04858916260178E-10,0
ENSG00000049167,Developmental,SCZ,isoTWAS,ERCC8,ENST00000477893,5,60866454,60945073,protein_coding,5.288010308,1.24E-07,0.01998002,0.010454639,rs12523278,1E-12,1.06236555108992E-06,2.00298103142993E-05,1.116E-06
ENSG00000198839,Developmental,SCZ,isoTWAS,ZNF277,ENST00000361822,7,112206695,112343934,protein_coding,-7.159734697,8.08E-13,0.000999001,0.036471407,rs2109299,1.03E-12,4.84813040248276E-12,3.62240632248469E-10,4.04E-12
ENSG00000150967,Developmental,SCZ,isoTWAS,ABCB9,ENST00000542678,12,122920951,122981649,protein_coding,-7.004518015,2.48E-12,0.020979021,0.492660467,rs10773000,1.06E-12,6.9462461497131E-12,5.02715096906815E-10,3.224E-11
ENSG00000182196,Developmental,SCZ,isoTWAS,ARL6IP4,ENST00000315580,12,122980060,122982913,protein_coding,-7.872072275,3.49E-15,0.017982018,0.154248488,rs10773000,1.06E-12,2.3490999734762E-14,2.68880315403775E-12,4.886E-14
ENSG00000186973,Developmental,ADHD,isoTWAS,FAM183A,ENST00000409337,1,43145153,43156396,protein_coding,-5.431710376,5.58E-08,0.015984016,0.036849578,rs12410155,1.09E-12,1.11513456894688E-07,2.87035993751733E-06,5.58E-08
ENSG00000229212,Developmental,SCZ,isoTWAS,,ENST00000558470,15,85208477,85209871,transcribed_unprocessed_pseudogene,5.271235813,1.36E-07,0.000999001,0.014733884,rs1051168,1.25E-12,4.11050109787414E-08,1.19530409402866E-06,5.44E-07
ENSG00000116922,Developmental,NTSM,isoTWAS,C1orf109,ENST00000491797,1,37681570,37692249,protein_coding,-4.773307612,1.81E-06,0.007992008,0.020908087,rs4653218,1.49E-12,2.34327979191374E-05,0.000261536601394854,2.172E-05
ENSG00000225151,Developmental,SCZ,isoTWAS,GOLGA2P7,ENST00000316967,15,84203866,84205319,transcribed_unprocessed_pseudogene,5.483569024,4.17E-08,0.026973027,0.076379219,rs11637142,2.52E-12,1.49741073683336E-07,3.72368441937652E-06,2.919E-07
ENSG00000225151,Developmental,SCZ,isoTWAS,GOLGA2P7,ENST00000559668,15,84203866,84205319,transcribed_unprocessed_pseudogene,5.489787962,4.02E-08,0.018981019,0.295645569,rs11637142,2.52E-12,1.49741073683336E-07,3.72368441937652E-06,2.814E-07
ENSG00000169696,Developmental,NTSM,isoTWAS,ASPSCR1,ENST00000584454,17,81976807,82017406,protein_coding,3.310427617,0.000931535,0.023976024,0.061743418,rs4969391,2.83E-12,0.00511168097782512,0.0126724146391889,0.013973025
ENSG00000141552,Developmental,NTSM,isoTWAS,ANAPC11,ENST00000612413,17,81890790,81900991,protein_coding,3.323257302,0.000889728,0.015984016,0.049520737,rs4969391,2.83E-12,0.000822442718442079,0.00376123633690471,0.009787008
ENSG00000144381,Developmental,SCZ,isoTWAS,HSPD1,ENST00000476746,2,197486584,197516737,protein_coding,-6.623634349,3.5E-11,0.01998002,0.039050711,rs4550664,2.83E-12,3.10911823449976E-10,1.56806434958099E-08,2.8E-10
ENSG00000115524,Developmental,SCZ,isoTWAS,SF3B1,ENST00000479532,2,197388515,197435079,protein_coding,7.460145481,8.64E-14,0.003996004,0.012420823,rs4550664,2.83E-12,1.03666959201665E-12,8.75958667306635E-11,9.504E-13
ENSG00000065413,Developmental,SCZ,isoTWAS,ANKRD44,ENST00000463879,2,196967017,197311173,protein_coding,-7.626644576,2.41E-14,0.003996004,0.038438189,rs4550664,2.83E-12,1.92968219341695E-13,1.86485873769797E-11,1.687E-13
ENSG00000115524,Developmental,SCZ,isoTWAS,SF3B1,ENST00000487698,2,197388515,197435079,protein_coding,4.94432432,7.64E-07,0.000999001,0.02024194,rs4550664,2.83E-12,1.03666959201665E-12,8.75958667306635E-11,6.876E-06
ENSG00000144381,Developmental,SCZ,isoTWAS,HSPD1,ENST00000452200,2,197486584,197516737,protein_coding,-5.085762903,3.66E-07,0.000999001,0.014096478,rs4550664,2.83E-12,3.10911823449976E-10,1.56806434958099E-08,2.196E-06
ENSG00000185624,Developmental,NTSM,isoTWAS,P4HB,ENST00000575069,17,81843159,81860856,protein_coding,-3.85655536,0.000114996,0.006993007,0.062719279,rs4969391,2.83E-12,0.00100386168725006,0.00430428367973666,0.001494948
ENSG00000169750,Developmental,NTSM,isoTWAS,RAC3,ENST00000580965,17,82031678,82034204,protein_coding,-3.486904492,0.000488646,0.015984016,0.035916773,rs4969391,2.83E-12,0.00141537869602858,0.00542069216307672,0.000977292
ENSG00000076555,Developmental,SCZ,isoTWAS,ACACB,ENST00000534852,12,109116587,109268226,protein_coding,-4.952476539,7.33E-07,0.010989011,0.023652256,rs12296821,2.85E-12,6.93563034139941E-06,9.55885039110547E-05,6.597E-06
ENSG00000242193,Developmental,SCZ,isoTWAS,CRYZL2P,ENST00000481349,1,178006136,178037950,transcribed_unitary_pseudogene,-4.165165851,3.11E-05,0.024975025,0.055223613,rs16851048,3.06E-12,9.27035085934601E-05,0.000760118130579184,6.22E-05
ENSG00000225914,Developmental,CDG,isoTWAS,TSBP1-AS1,ENST00000611838,6,32254640,32407763,lncRNA,-5.973505756,2.32E-09,0.046953047,0.332854219,rs2855812,3.31E-12,1.26504326878231E-12,1.05239862447823E-10,3.248E-08
ENSG00000237285,Developmental,CDG,isoTWAS,HNRNPA1P2,ENST00000432375,6,32325219,32326178,processed_pseudogene,6.122743577,9.2E-10,0.027972028,0.374329706,rs2855812,3.31E-12,9.20000057393718E-10,4.03475025170576E-08,0
ENSG00000088543,Developmental,AN,isoTWAS,C3orf18,ENST00000422619,3,50558025,50571027,protein_coding,4.877074036,1.08E-06,0.000999001,0.010562731,rs34823813,4.03E-12,2.54849040739538E-06,4.21414822591743E-05,7.56E-06
ENSG00000088543,Developmental,AN,isoTWAS,C3orf18,ENST00000485902,3,50558025,50571027,protein_coding,4.928074635,8.3E-07,0.000999001,0.017275832,rs34823813,4.03E-12,2.54849040739538E-06,4.21414822591743E-05,6.64E-06
ENSG00000114735,Developmental,AN,isoTWAS,HEMK1,ENST00000443894,3,50569152,50596168,protein_coding,-5.527206867,3.25E-08,0.001998002,0.020239819,rs34823813,4.03E-12,1.62485882558592E-07,4.00218247537083E-06,1.3E-07
ENSG00000004059,Developmental,NTSM,isoTWAS,ARF5,ENST00000467281,7,127588386,127591700,protein_coding,6.834817357,8.21E-12,0.001998002,0.040801891,rs2157977,4.27E-12,2.46300618370164E-11,1.63582126743872E-09,1.642E-11
ENSG00000104756,Developmental,SCZ,isoTWAS,KCTD9,ENST00000522493,8,25427847,25458476,protein_coding,3.966764021,7.29E-05,0.013986014,0.01935824,rs17310286,5.46E-12,0.000675865456578751,0.00326287544233457,0.0006561
ENSG00000272305,Developmental,BP,isoTWAS,,ENST00000607203,3,52969119,53099453,protein_coding,-6.575327374,4.85E-11,0.040959041,0.043538513,rs2071042,5.74E-12,1.13699999991115E-20,4.05229213471803E-18,9.7E-11
ENSG00000106460,Developmental,MDD,isoTWAS,TMEM106B,ENST00000396667,7,12211270,12243367,protein_coding,3.695391773,0.000219548,0.014985015,0.050775582,rs5011432,6.93E-12,0.00105517909830702,0.00446149737164711,0.000878192
ENSG00000119041,Developmental,SCZ,isoTWAS,GTF3C3,ENST00000263956,2,196763035,196799725,protein_coding,5.166328843,2.39E-07,0.031968032,0.027566284,rs1429412,7.49E-12,1.61087805297588E-06,2.85691877988767E-05,1.434E-06
ENSG00000144395,Developmental,SCZ,isoTWAS,CCDC150,ENST00000463826,2,196639554,196763490,protein_coding,-5.903501439,3.56E-09,0.010989011,0.026038223,rs1429412,7.49E-12,1.06883359214498E-12,8.93777478944445E-11,1.78E-08
ENSG00000204713,Developmental,MDD,isoTWAS,TRIM27,ENST00000377199,6,28903002,28923988,protein_coding,6.845,7.65E-12,0.000999001,0.052031449,rs149975,7.65E-12,1.86599999772422E-20,6.02307479265424E-18,7.65E-12
ENSG00000258536,Developmental,MDD,isoTWAS,FKBP1BP1,ENST00000553366,14,41742639,41742963,processed_pseudogene,6.718719509,1.83E-11,0.000999001,0.017808745,rs1956450,8.32E-12,1.83000123010923E-11,1.2567825469248E-09,0
ENSG00000243989,Developmental,SCZ,isoTWAS,ACY1,ENST00000636880,3,51983340,51989197,protein_coding,7.152637808,8.51E-13,0.000999001,0.019212049,rs1075653,9.36E-12,8.64265473027308E-20,2.32473007819795E-17,5.957E-12
ENSG00000243989,Developmental,SCZ,isoTWAS,ACY1,ENST00000638077,3,51983340,51989197,protein_coding,7.273531186,3.5E-13,0.000999001,0.055864459,rs1075653,9.36E-12,8.64265473027308E-20,2.32473007819795E-17,2.8E-12
ENSG00000157445,Developmental,CDG,isoTWAS,CACNA2D3,ENST00000471865,3,54122547,55074557,protein_coding,3.866951057,0.000110205,0.005994006,0.011777401,rs11713763,1.02E-11,0.000707012596209793,0.00336989849091254,0.00066123
ENSG00000230333,Developmental,BP,isoTWAS,,ENST00000599917,7,11180902,11520175,lncRNA,3.634758559,0.000278241,0.008991009,0.031896013,rs12234369,1.29E-11,0.000598741219353601,0.00298134073125233,0.001669446
ENSG00000267127,Developmental,SCZ,isoTWAS,,ENST00000569722,18,80034346,80097088,protein_coding,-5.328041587,9.93E-08,0.04995005,0.144337897,rs11665111,1.44E-11,2.07427258985101E-07,4.89425224087799E-06,2.979E-07
ENSG00000153707,Developmental,MDD,isoTWAS,PTPRD,ENST00000471274,9,8314246,10613002,protein_coding,3.922699546,8.76E-05,0.014985015,0.02076033,rs1931388,1.69E-11,2.51279239349768E-05,0.000276441420849755,0.0011388
ENSG00000177374,Developmental,NTSM,isoTWAS,HIC1,ENST00000576444,17,2054154,2063241,protein_coding,-7.024322312,2.15E-12,0.000999001,0.018305678,rs12938775,2.2E-11,6.45001116764705E-12,4.75327535318063E-10,4.3E-12
ENSG00000132359,Developmental,NTSM,isoTWAS,RAP1GAP2,ENST00000366401,17,2755705,3037741,protein_coding,3.583993815,0.00033838,0.028971029,0.014103253,rs12938775,2.2E-11,0.00130861785351167,0.00514569758613738,0.00101514
ENSG00000141258,Developmental,NTSM,isoTWAS,SGSM2,ENST00000572875,17,2337498,2381058,protein_coding,-4.190456376,2.78E-05,0.020979021,0.025506489,rs12938775,2.2E-11,1.10689356279378E-06,2.08206937178658E-05,0.000278
ENSG00000070444,Developmental,NTSM,isoTWAS,MNT,ENST00000571836,17,2384073,2401104,protein_coding,6.772256945,1.27E-11,0.000999001,0.011555095,rs12938775,2.2E-11,6.35002246503726E-11,3.78166098019322E-09,5.08E-11
ENSG00000197417,Developmental,NTSM,isoTWAS,SHPK,ENST00000225519,17,3608240,3636250,protein_coding,4.322237391,1.54E-05,0.011988012,0.240823095,rs12938775,2.2E-11,1.53999999999859E-05,0.000186172734082226,0
ENSG00000198561,Developmental,CDG,isoTWAS,CTNND1,ENST00000673826,11,57753243,57819546,protein_coding,3.32309016,0.000890261,0.030969031,0.028703452,rs12790660,2.26E-11,1.99913557029248E-09,8.02588282809709E-08,0.008012349
ENSG00000198561,Developmental,CDG,isoTWAS,CTNND1,ENST00000532649,11,57753243,57819546,protein_coding,3.958289701,7.55E-05,0.02997003,0.039365961,rs12790660,2.26E-11,1.99913557029248E-09,8.02588282809709E-08,0.000906
ENSG00000156599,Developmental,CDG,isoTWAS,ZDHHC5,ENST00000532842,11,57667747,57701182,protein_coding,-4.395785696,1.1E-05,0.048951049,0.026459446,rs12790660,2.26E-11,4.32775727093294E-05,0.000423820840992638,3.3E-05
ENSG00000198561,Developmental,CDG,isoTWAS,CTNND1,ENST00000532245,11,57753243,57819546,protein_coding,-5.325986456,1E-07,0.016983017,0.010233725,rs12790660,2.26E-11,1.99913557029248E-09,8.02588282809709E-08,1.3E-06
ENSG00000149136,Developmental,CDG,isoTWAS,SSRP1,ENST00000278412,11,57325986,57335892,protein_coding,5.148392874,2.63E-07,0.014985015,0.031662856,rs12790660,2.26E-11,1.31049338010996E-06,2.40337772744993E-05,1.052E-06
ENSG00000156603,Developmental,CDG,isoTWAS,MED19,ENST00000528205,11,57703710,57712221,protein_coding,-5.4562766,4.86E-08,0.005994006,0.014961101,rs12790660,2.26E-11,2.40460208287158E-07,5.52032333079153E-06,1.944E-07
ENSG00000198561,Developmental,CDG,isoTWAS,CTNND1,ENST00000529919,11,57753243,57819546,protein_coding,-6.412915854,1.43E-10,0.000999001,0.016125228,rs12790660,2.26E-11,1.99913557029248E-09,8.02588282809709E-08,1.859E-09
ENSG00000079616,Developmental,CDG,isoTWAS,KIF22,ENST00000400751,16,29790727,29805385,protein_coding,-6.647207363,2.99E-11,0.02997003,0.034211914,rs11150579,2.26E-11,1.33417785839396E-11,9.28116226578454E-10,2.392E-10
ENSG00000169203,Developmental,CDG,isoTWAS,NPIPB12,ENST00000548346,16,29483534,29506408,protein_coding,-6.721772596,1.8E-11,0.005994006,0.015220274,rs11150579,2.26E-11,1.25988089941212E-10,7.11019025601319E-09,1.08E-10
ENSG00000174943,Developmental,CDG,isoTWAS,KCTD13,ENST00000567795,16,29905012,29926236,protein_coding,7.099397713,1.25E-12,0.004995005,0.02611801,rs11150579,2.26E-11,7.59140542670057E-15,9.35249558637561E-13,3.75E-12
ENSG00000149929,Developmental,CDG,isoTWAS,HIRIP3,ENST00000563680,16,29992330,29996074,protein_coding,-7.281991375,3.29E-13,0.004995005,0.032403756,rs11150579,2.26E-11,1.64442473808722E-12,1.34717618517714E-10,1.316E-12
ENSG00000280987,Developmental,SCZ,isoTWAS,,ENST00000504203,5,139273752,139331671,protein_coding,-5.311469846,1.09E-07,0.044955045,0.03919105,rs11956240,2.28E-11,2.08976201197123E-08,6.58724006078197E-07,6.54E-07
ENSG00000120727,Developmental,SCZ,isoTWAS,PAIP2,ENST00000265192,5,139341587,139369720,protein_coding,-5.484075108,4.16E-08,0.016983017,0.03922565,rs11956240,2.28E-11,3.00887000746209E-11,1.96599809920772E-09,2.08E-07
ENSG00000170469,Developmental,SCZ,isoTWAS,SPATA24,ENST00000450845,5,139396563,139404089,protein_coding,4.003943989,6.23E-05,0.00999001,0.014116426,rs11956240,2.28E-11,4.63982737308971E-09,1.7174810544563E-07,6.23E-05
ENSG00000120725,Developmental,SCZ,isoTWAS,SIL1,ENST00000509534,5,138946724,139293557,protein_coding,-6.457946268,1.06E-10,0.005994006,0.05076472,rs11956240,2.28E-11,8.4797948018053E-10,3.77012144094589E-08,7.42E-10
ENSG00000120727,Developmental,SCZ,isoTWAS,PAIP2,ENST00000510080,5,139341587,139369720,protein_coding,-5.424155168,5.82E-08,0.003996004,0.042194128,rs11956240,2.28E-11,3.00887000746209E-11,1.96599809920772E-09,2.328E-07
ENSG00000044115,Developmental,SCZ,isoTWAS,CTNNA1,ENST00000519113,5,138610967,138935034,protein_coding,-4.206696239,2.59E-05,0.002997003,0.010212726,rs11956240,2.28E-11,2.7005902203413E-08,8.25470181175914E-07,0.0006475
ENSG00000120733,Developmental,SCZ,isoTWAS,KDM3B,ENST00000507996,5,138352685,138437028,protein_coding,-5.72398654,1.04E-08,0.002997003,0.054900917,rs11956240,2.28E-11,5.19998572405653E-08,1.48011586597087E-06,4.16E-08
ENSG00000137171,Developmental,SCZ,isoTWAS,KLC4,ENST00000394056,6,43040777,43075095,protein_coding,4.17426498,2.99E-05,0.04995005,0.015158616,rs6938026,2.36E-11,0.000311134936618061,0.00186461446048232,0.000299
ENSG00000171462,Developmental,SCZ,isoTWAS,DLK2,ENST00000357338,6,43450352,43456632,protein_coding,-4.207389784,2.58E-05,0.03996004,0.046914559,rs6938026,2.36E-11,7.71623210935888E-05,0.000661701753522545,5.16E-05
